x-count,x-count,x-count,x-count,y-count
0,1,0,1,0
1,0,1,0,1
0,1,0,1,0
1,0,1,0,1
0,1,0,1,0
1,0,1,0,1
0,1,0,1,0
1,0,1,0,1
0,1,0,1,0
1,0,1,0,1
0,1,0,1,0
1,0,1,0,1
0,1,0,1,0
1,0,1,0,1
0,1,0,1,0
1,0,1,0,0
0,1,0,0,2
1,0,0,2,0
0,0,2,0,0
0,2,0,0,0
2,0,0,0,1
0,0,0,1,3
0,0,1,3,0
0,1,3,0,0
1,3,0,0,2
3,0,0,2,6
0,0,2,6,5
0,2,6,5,8
2,6,5,8,7
6,5,8,7,7
5,8,7,7,8
8,7,7,8,17
7,7,8,17,16
7,8,17,16,27
8,17,16,27,26
17,16,27,26,37
16,27,26,37,39
27,26,37,39,49
26,37,39,49,44
37,39,49,44,57
39,49,44,57,61
49,44,57,61,66
44,57,61,66,66
57,61,66,66,78
61,66,66,78,75
66,66,78,75,90
66,78,75,90,84
78,75,90,84,101
75,90,84,101,97
90,84,101,97,94
84,101,97,94,92
101,97,94,92,80
97,94,92,80,82
94,92,80,82,83
92,80,82,83,61
80,82,83,61,69
82,83,61,69,58
83,61,69,58,58
61,69,58,58,50
69,58,58,50,48
58,58,50,48,37
58,50,48,37,39
50,48,37,39,26
48,37,39,26,28
37,39,26,28,19
39,26,28,19,18
26,28,19,18,8
28,19,18,8,7
19,18,8,7,5
18,8,7,5,9
8,7,5,9,2
7,5,9,2,6
5,9,2,6,2
9,2,6,2,5
2,6,2,5,0
6,2,5,0,3
2,5,0,3,0
5,0,3,0,0
0,3,0,0,0
3,0,0,0,1
0,0,0,1,0
0,0,1,0,1
0,1,0,1,0
1,0,1,0,2
0,1,0,2,0
1,0,2,0,1
0,2,0,1,0
2,0,1,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,1,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,0,0,2,0
0,0,2,0,0
0,2,0,0,0
2,0,0,0,1
0,0,0,1,3
0,0,1,3,0
0,1,3,0,0
1,3,0,0,2
3,0,0,2,0
0,0,2,0,7
0,2,0,7,4
2,0,7,4,9
0,7,4,9,6
7,4,9,6,6
4,9,6,6,3
9,6,6,3,19
6,6,3,19,16
6,3,19,16,21
3,19,16,21,26
19,16,21,26,32
16,21,26,32,36
21,26,32,36,41
26,32,36,41,41
32,36,41,41,53
36,41,41,53,54
41,41,53,54,53
41,53,54,53,66
53,54,53,66,67
54,53,66,67,70
53,66,67,70,77
66,67,70,77,82
67,70,77,82,83
70,77,82,83,92
77,82,83,92,82
82,83,92,82,82
83,92,82,82,73
92,82,82,73,76
82,82,73,76,69
82,73,76,69,61
73,76,69,61,58
76,69,61,58,54
69,61,58,54,48
61,58,54,48,45
58,54,48,45,42
54,48,45,42,36
48,45,42,36,30
45,42,36,30,28
42,36,30,28,24
36,30,28,24,16
30,28,24,16,18
28,24,16,18,9
24,16,18,9,7
16,18,9,7,6
18,9,7,6,9
9,7,6,9,2
7,6,9,2,5
6,9,2,5,2
9,2,5,2,5
2,5,2,5,0
5,2,5,0,3
2,5,0,3,0
5,0,3,0,0
0,3,0,0,0
3,0,0,0,1
0,0,0,1,0
0,0,1,0,0
0,1,0,0,3
1,0,0,3,0
0,0,3,0,1
0,3,0,1,0
3,0,1,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,1,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,0,0,2,0
0,0,2,0,0
0,2,0,0,0
2,0,0,0,1
0,0,0,1,3
0,0,1,3,0
0,1,3,0,0
1,3,0,0,2
3,0,0,2,7
0,0,2,7,4
0,2,7,4,6
2,7,4,6,6
7,4,6,6,16
4,6,6,16,15
6,6,16,15,23
6,16,15,23,24
16,15,23,24,36
15,23,24,36,33
23,24,36,33,40
24,36,33,40,41
36,33,40,41,51
33,40,41,51,54
40,41,51,54,61
41,51,54,61,58
51,54,61,58,69
54,61,58,69,68
61,58,69,68,77
58,69,68,77,82
69,68,77,82,86
68,77,82,86,86
77,82,86,86,92
82,86,86,92,75
86,86,92,75,80
86,92,75,80,72
92,75,80,72,65
75,80,72,65,65
80,72,65,65,60
72,65,65,60,54
65,65,60,54,51
65,60,54,51,42
60,54,51,42,43
54,51,42,43,32
51,42,43,32,36
42,43,32,36,24
43,32,36,24,25
32,36,24,25,15
36,24,25,15,13
24,25,15,13,10
25,15,13,10,5
15,13,10,5,6
13,10,5,6,7
10,5,6,7,3
5,6,7,3,5
6,7,3,5,2
7,3,5,2,5
3,5,2,5,2
5,2,5,2,5
2,5,2,5,0
5,2,5,0,3
2,5,0,3,0
5,0,3,0,0
0,3,0,0,0
3,0,0,0,0
0,0,0,0,1
0,0,0,1,1
0,0,1,1,1
0,1,1,1,1
1,1,1,1,1
1,1,1,1,1
1,1,1,1,0
1,1,1,0,0
1,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,1,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,1,1
0,0,1,1,0
0,1,1,0,0
1,1,0,0,1
1,0,0,1,2
0,0,1,2,1
0,1,2,1,0
1,2,1,0,1
2,1,0,1,7
1,0,1,7,5
0,1,7,5,6
1,7,5,6,7
7,5,6,7,15
5,6,7,15,14
6,7,15,14,24
7,15,14,24,24
15,14,24,24,32
14,24,24,32,33
24,24,32,33,41
24,32,33,41,48
32,33,41,48,51
33,41,48,51,49
41,48,51,49,54
48,51,49,54,57
51,49,54,57,61
49,54,57,61,61
54,57,61,61,71
57,61,61,71,69
61,61,71,69,82
61,71,69,82,80
71,69,82,80,73
69,82,80,73,75
82,80,73,75,72
80,73,75,72,65
73,75,72,65,54
75,72,65,54,46
72,65,54,46,57
65,54,46,57,50
54,46,57,50,47
46,57,50,47,38
57,50,47,38,43
50,47,38,43,34
47,38,43,34,34
38,43,34,34,24
43,34,34,24,22
34,34,24,22,18
34,24,22,18,15
24,22,18,15,9
22,18,15,9,6
18,15,9,6,5
15,9,6,5,8
9,6,5,8,2
6,5,8,2,5
5,8,2,5,2
8,2,5,2,5
2,5,2,5,1
5,2,5,1,6
2,5,1,6,0
5,1,6,0,2
1,6,0,2,1
6,0,2,1,0
0,2,1,0,0
2,1,0,0,1
1,0,0,1,0
0,0,1,0,0
0,1,0,0,2
1,0,0,2,2
0,0,2,2,0
0,2,2,0,1
2,2,0,1,0
2,0,1,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,1,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,1,1
0,0,1,1,0
0,1,1,0,0
1,1,0,0,1
1,0,0,1,3
0,0,1,3,0
0,1,3,0,0
1,3,0,0,2
3,0,0,2,7
0,0,2,7,4
0,2,7,4,6
2,7,4,6,7
7,4,6,7,7
4,6,7,7,5
6,7,7,5,5
7,7,5,5,10
7,5,5,10,17
5,5,10,17,18
5,10,17,18,28
10,17,18,28,32
17,18,28,32,38
18,28,32,38,37
28,32,38,37,53
32,38,37,53,53
38,37,53,53,62
37,53,53,62,58
53,53,62,58,68
53,62,58,68,63
62,58,68,63,78
58,68,63,78,69
68,63,78,69,83
63,78,69,83,87
78,69,83,87,86
69,83,87,86,93
83,87,86,93,95
87,86,93,95,87
86,93,95,87,87
93,95,87,87,73
95,87,87,73,60
87,87,73,60,69
87,73,60,69,58
73,60,69,58,57
60,69,58,57,52
69,58,57,52,33
58,57,52,33,28
57,52,33,28,19
52,33,28,19,18
33,28,19,18,10
28,19,18,10,4
19,18,10,4,6
18,10,4,6,9
10,4,6,9,2
4,6,9,2,5
6,9,2,5,2
9,2,5,2,5
2,5,2,5,2
5,2,5,2,4
2,5,2,4,1
5,2,4,1,3
2,4,1,3,0
4,1,3,0,0
1,3,0,0,0
3,0,0,0,1
0,0,0,1,0
0,0,1,0,1
0,1,0,1,1
1,0,1,1,2
0,1,1,2,0
1,1,2,0,0
1,2,0,0,1
2,0,0,1,0
0,0,1,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,0,0,1,0
0,0,1,0,0
0,1,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
