x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,y-count
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2
1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0
0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0,0
1,0,1,0,1,0,1,0,1,0,1,0,0,2,0,0,0
0,1,0,1,0,1,0,1,0,1,0,0,2,0,0,0,1
1,0,1,0,1,0,1,0,1,0,0,2,0,0,0,1,3
0,1,0,1,0,1,0,1,0,0,2,0,0,0,1,3,0
1,0,1,0,1,0,1,0,0,2,0,0,0,1,3,0,0
0,1,0,1,0,1,0,0,2,0,0,0,1,3,0,0,2
1,0,1,0,1,0,0,2,0,0,0,1,3,0,0,2,6
0,1,0,1,0,0,2,0,0,0,1,3,0,0,2,6,5
1,0,1,0,0,2,0,0,0,1,3,0,0,2,6,5,8
0,1,0,0,2,0,0,0,1,3,0,0,2,6,5,8,7
1,0,0,2,0,0,0,1,3,0,0,2,6,5,8,7,7
0,0,2,0,0,0,1,3,0,0,2,6,5,8,7,7,8
0,2,0,0,0,1,3,0,0,2,6,5,8,7,7,8,17
2,0,0,0,1,3,0,0,2,6,5,8,7,7,8,17,16
0,0,0,1,3,0,0,2,6,5,8,7,7,8,17,16,27
0,0,1,3,0,0,2,6,5,8,7,7,8,17,16,27,26
0,1,3,0,0,2,6,5,8,7,7,8,17,16,27,26,37
1,3,0,0,2,6,5,8,7,7,8,17,16,27,26,37,39
3,0,0,2,6,5,8,7,7,8,17,16,27,26,37,39,49
0,0,2,6,5,8,7,7,8,17,16,27,26,37,39,49,44
0,2,6,5,8,7,7,8,17,16,27,26,37,39,49,44,57
2,6,5,8,7,7,8,17,16,27,26,37,39,49,44,57,61
6,5,8,7,7,8,17,16,27,26,37,39,49,44,57,61,66
5,8,7,7,8,17,16,27,26,37,39,49,44,57,61,66,66
8,7,7,8,17,16,27,26,37,39,49,44,57,61,66,66,78
7,7,8,17,16,27,26,37,39,49,44,57,61,66,66,78,75
7,8,17,16,27,26,37,39,49,44,57,61,66,66,78,75,90
8,17,16,27,26,37,39,49,44,57,61,66,66,78,75,90,84
17,16,27,26,37,39,49,44,57,61,66,66,78,75,90,84,101
16,27,26,37,39,49,44,57,61,66,66,78,75,90,84,101,97
27,26,37,39,49,44,57,61,66,66,78,75,90,84,101,97,94
26,37,39,49,44,57,61,66,66,78,75,90,84,101,97,94,92
37,39,49,44,57,61,66,66,78,75,90,84,101,97,94,92,80
39,49,44,57,61,66,66,78,75,90,84,101,97,94,92,80,82
49,44,57,61,66,66,78,75,90,84,101,97,94,92,80,82,83
44,57,61,66,66,78,75,90,84,101,97,94,92,80,82,83,61
57,61,66,66,78,75,90,84,101,97,94,92,80,82,83,61,69
61,66,66,78,75,90,84,101,97,94,92,80,82,83,61,69,58
66,66,78,75,90,84,101,97,94,92,80,82,83,61,69,58,58
66,78,75,90,84,101,97,94,92,80,82,83,61,69,58,58,50
78,75,90,84,101,97,94,92,80,82,83,61,69,58,58,50,48
75,90,84,101,97,94,92,80,82,83,61,69,58,58,50,48,37
90,84,101,97,94,92,80,82,83,61,69,58,58,50,48,37,39
84,101,97,94,92,80,82,83,61,69,58,58,50,48,37,39,26
101,97,94,92,80,82,83,61,69,58,58,50,48,37,39,26,28
97,94,92,80,82,83,61,69,58,58,50,48,37,39,26,28,19
94,92,80,82,83,61,69,58,58,50,48,37,39,26,28,19,18
92,80,82,83,61,69,58,58,50,48,37,39,26,28,19,18,8
80,82,83,61,69,58,58,50,48,37,39,26,28,19,18,8,7
82,83,61,69,58,58,50,48,37,39,26,28,19,18,8,7,5
83,61,69,58,58,50,48,37,39,26,28,19,18,8,7,5,9
61,69,58,58,50,48,37,39,26,28,19,18,8,7,5,9,2
69,58,58,50,48,37,39,26,28,19,18,8,7,5,9,2,6
58,58,50,48,37,39,26,28,19,18,8,7,5,9,2,6,2
58,50,48,37,39,26,28,19,18,8,7,5,9,2,6,2,5
50,48,37,39,26,28,19,18,8,7,5,9,2,6,2,5,0
48,37,39,26,28,19,18,8,7,5,9,2,6,2,5,0,3
37,39,26,28,19,18,8,7,5,9,2,6,2,5,0,3,0
39,26,28,19,18,8,7,5,9,2,6,2,5,0,3,0,0
26,28,19,18,8,7,5,9,2,6,2,5,0,3,0,0,0
28,19,18,8,7,5,9,2,6,2,5,0,3,0,0,0,1
19,18,8,7,5,9,2,6,2,5,0,3,0,0,0,1,0
18,8,7,5,9,2,6,2,5,0,3,0,0,0,1,0,1
8,7,5,9,2,6,2,5,0,3,0,0,0,1,0,1,0
7,5,9,2,6,2,5,0,3,0,0,0,1,0,1,0,2
5,9,2,6,2,5,0,3,0,0,0,1,0,1,0,2,0
9,2,6,2,5,0,3,0,0,0,1,0,1,0,2,0,1
2,6,2,5,0,3,0,0,0,1,0,1,0,2,0,1,0
6,2,5,0,3,0,0,0,1,0,1,0,2,0,1,0,0
2,5,0,3,0,0,0,1,0,1,0,2,0,1,0,0,0
5,0,3,0,0,0,1,0,1,0,2,0,1,0,0,0,0
0,3,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0
3,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0
0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0
0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0
0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
