x-count,x-count,x-count,x-count,x-notional,x-notional,x-notional,x-notional,y-count
0,1,0,1,0,3,0,3,0
1,0,1,0,3,0,3,0,1
0,1,0,1,0,3,0,3,0
1,0,1,0,3,0,3,0,1
0,1,0,1,0,3,0,6,0
1,0,1,0,3,0,6,0,1
0,1,0,1,0,6,0,3,0
1,0,1,0,6,0,3,0,1
0,1,0,1,0,3,0,3,0
1,0,1,0,3,0,3,0,1
0,1,0,1,0,3,0,2,0
1,0,1,0,3,0,2,0,1
0,1,0,1,0,2,0,2,0
1,0,1,0,2,0,2,0,1
0,1,0,1,0,2,0,2,0
1,0,1,0,2,0,2,0,0
0,1,0,0,0,2,0,0,2
1,0,0,2,2,0,0,2,0
0,0,2,0,0,0,2,0,0
0,2,0,0,0,2,0,0,0
2,0,0,0,2,0,0,0,1
0,0,0,1,0,0,0,2,3
0,0,1,3,0,0,2,2,0
0,1,3,0,0,2,2,0,0
1,3,0,0,2,2,0,0,2
3,0,0,2,2,0,0,2,6
0,0,2,6,0,0,2,5,5
0,2,6,5,0,2,5,3,8
2,6,5,8,2,5,3,3,7
6,5,8,7,5,3,3,4,7
5,8,7,7,3,3,4,7,8
8,7,7,8,3,4,7,5,17
7,7,8,17,4,7,5,4,16
7,8,17,16,7,5,4,4,27
8,17,16,27,5,4,4,6,26
17,16,27,26,4,4,6,6,37
16,27,26,37,4,6,6,6,39
27,26,37,39,6,6,6,5,49
26,37,39,49,6,6,5,6,44
37,39,49,44,6,5,6,5,57
39,49,44,57,5,6,5,6,61
49,44,57,61,6,5,6,6,66
44,57,61,66,5,6,6,6,66
57,61,66,66,6,6,6,6,78
61,66,66,78,6,6,6,7,75
66,66,78,75,6,6,7,4,90
66,78,75,90,6,7,4,4,84
78,75,90,84,7,4,4,5,101
75,90,84,101,4,4,5,4,97
90,84,101,97,4,5,4,5,94
84,101,97,94,5,4,5,6,92
101,97,94,92,4,5,6,7,80
97,94,92,80,5,6,7,7,82
94,92,80,82,6,7,7,6,83
92,80,82,83,7,7,6,7,61
80,82,83,61,7,6,7,6,69
82,83,61,69,6,7,6,5,58
83,61,69,58,7,6,5,7,58
61,69,58,58,6,5,7,5,50
69,58,58,50,5,7,5,4,48
58,58,50,48,7,5,4,5,37
58,50,48,37,5,4,5,6,39
50,48,37,39,4,5,6,7,26
48,37,39,26,5,6,7,4,28
37,39,26,28,6,7,4,4,19
39,26,28,19,7,4,4,4,18
26,28,19,18,4,4,4,5,8
28,19,18,8,4,4,5,6,7
19,18,8,7,4,5,6,6,5
18,8,7,5,5,6,6,6,9
8,7,5,9,6,6,6,7,2
7,5,9,2,6,6,7,7,6
5,9,2,6,6,7,7,6,2
9,2,6,2,7,7,6,4,5
2,6,2,5,7,6,4,4,0
6,2,5,0,6,4,4,0,3
2,5,0,3,4,4,0,4,0
5,0,3,0,4,0,4,0,0
0,3,0,0,0,4,0,0,0
3,0,0,0,4,0,0,0,1
0,0,0,1,0,0,0,3,0
0,0,1,0,0,0,3,0,1
0,1,0,1,0,3,0,4,0
1,0,1,0,3,0,4,0,2
0,1,0,2,0,4,0,7,0
1,0,2,0,4,0,7,0,1
0,2,0,1,0,7,0,6,0
2,0,1,0,7,0,6,0,0
0,1,0,0,0,6,0,0,0
1,0,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,10,0
0,0,1,0,0,0,10,0,0
0,1,0,0,0,10,0,0,0
1,0,0,0,10,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2
0,0,0,2,0,0,0,3,0
0,0,2,0,0,0,3,0,0
0,2,0,0,0,3,0,0,0
2,0,0,0,3,0,0,0,1
0,0,0,1,0,0,0,3,3
0,0,1,3,0,0,3,3,0
0,1,3,0,0,3,3,0,0
1,3,0,0,3,3,0,0,2
3,0,0,2,3,0,0,3,0
0,0,2,0,0,0,3,0,7
0,2,0,7,0,3,0,5,4
2,0,7,4,3,0,5,5,9
0,7,4,9,0,5,5,7,6
7,4,9,6,5,5,7,6,6
4,9,6,6,5,7,6,4,3
9,6,6,3,7,6,4,4,19
6,6,3,19,6,4,4,5,16
6,3,19,16,4,4,5,4,21
3,19,16,21,4,5,4,6,26
19,16,21,26,5,4,6,6,32
16,21,26,32,4,6,6,9,36
21,26,32,36,6,6,9,8,41
26,32,36,41,6,9,8,6,41
32,36,41,41,9,8,6,5,53
36,41,41,53,8,6,5,4,54
41,41,53,54,6,5,4,4,53
41,53,54,53,5,4,4,6,66
53,54,53,66,4,4,6,6,67
54,53,66,67,4,6,6,5,70
53,66,67,70,6,6,5,5,77
66,67,70,77,6,5,5,8,82
67,70,77,82,5,5,8,6,83
70,77,82,83,5,8,6,8,92
77,82,83,92,8,6,8,7,82
82,83,92,82,6,8,7,6,82
83,92,82,82,8,7,6,6,73
92,82,82,73,7,6,6,4,76
82,82,73,76,6,6,4,5,69
82,73,76,69,6,4,5,7,61
73,76,69,61,4,5,7,4,58
76,69,61,58,5,7,4,4,54
69,61,58,54,7,4,4,8,48
61,58,54,48,4,4,8,5,45
58,54,48,45,4,8,5,5,42
54,48,45,42,8,5,5,5,36
48,45,42,36,5,5,5,6,30
45,42,36,30,5,5,6,8,28
42,36,30,28,5,6,8,6,24
36,30,28,24,6,8,6,4,16
30,28,24,16,8,6,4,6,18
28,24,16,18,6,4,6,4,9
24,16,18,9,4,6,4,6,7
16,18,9,7,6,4,6,5,6
18,9,7,6,4,6,5,8,9
9,7,6,9,6,5,8,5,2
7,6,9,2,5,8,5,7,5
6,9,2,5,8,5,7,2,2
9,2,5,2,5,7,2,1,5
2,5,2,5,7,2,1,1,0
5,2,5,0,2,1,1,0,3
2,5,0,3,1,1,0,1,0
5,0,3,0,1,0,1,0,0
0,3,0,0,0,1,0,0,0
3,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,4,0
0,0,1,0,0,0,4,0,0
0,1,0,0,0,4,0,0,3
1,0,0,3,4,0,0,4,0
0,0,3,0,0,0,4,0,1
0,3,0,1,0,4,0,4,0
3,0,1,0,4,0,4,0,0
0,1,0,0,0,4,0,0,0
1,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,4,0
0,0,1,0,0,0,4,0,0
0,1,0,0,0,4,0,0,0
1,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2
0,0,0,2,0,0,0,4,0
0,0,2,0,0,0,4,0,0
0,2,0,0,0,4,0,0,0
2,0,0,0,4,0,0,0,1
0,0,0,1,0,0,0,3,3
0,0,1,3,0,0,3,3,0
0,1,3,0,0,3,3,0,0
1,3,0,0,3,3,0,0,2
3,0,0,2,3,0,0,4,7
0,0,2,7,0,0,4,4,4
0,2,7,4,0,4,4,1,6
2,7,4,6,4,4,1,4,6
7,4,6,6,4,1,4,1,16
4,6,6,16,1,4,1,2,15
6,6,16,15,4,1,2,1,23
6,16,15,23,1,2,1,4,24
16,15,23,24,2,1,4,6,36
15,23,24,36,1,4,6,5,33
23,24,36,33,4,6,5,2,40
24,36,33,40,6,5,2,7,41
36,33,40,41,5,2,7,6,51
33,40,41,51,2,7,6,6,54
40,41,51,54,7,6,6,6,61
41,51,54,61,6,6,6,6,58
51,54,61,58,6,6,6,7,69
54,61,58,69,6,6,7,5,68
61,58,69,68,6,7,5,5,77
58,69,68,77,7,5,5,5,82
69,68,77,82,5,5,5,4,86
68,77,82,86,5,5,4,6,86
77,82,86,86,5,4,6,4,92
82,86,86,92,4,6,4,3,75
86,86,92,75,6,4,3,4,80
86,92,75,80,4,3,4,4,72
92,75,80,72,3,4,4,4,65
75,80,72,65,4,4,4,4,65
80,72,65,65,4,4,4,4,60
72,65,65,60,4,4,4,3,54
65,65,60,54,4,4,3,5,51
65,60,54,51,4,3,5,6,42
60,54,51,42,3,5,6,6,43
54,51,42,43,5,6,6,6,32
51,42,43,32,6,6,6,4,36
42,43,32,36,6,6,4,4,24
43,32,36,24,6,4,4,6,25
32,36,24,25,4,4,6,6,15
36,24,25,15,4,6,6,5,13
24,25,15,13,6,6,5,5,10
25,15,13,10,6,5,5,5,5
15,13,10,5,5,5,5,5,6
13,10,5,6,5,5,5,5,7
10,5,6,7,5,5,5,7,3
5,6,7,3,5,5,7,3,5
6,7,3,5,5,7,3,5,2
7,3,5,2,7,3,5,3,5
3,5,2,5,3,5,3,4,2
5,2,5,2,5,3,4,5,5
2,5,2,5,3,4,5,6,0
5,2,5,0,4,5,6,0,3
2,5,0,3,5,6,0,6,0
5,0,3,0,6,0,6,0,0
0,3,0,0,0,6,0,0,0
3,0,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,6,1
0,0,1,1,0,0,6,6,1
0,1,1,1,0,6,6,3,1
1,1,1,1,6,6,3,3,1
1,1,1,1,6,3,3,3,1
1,1,1,1,3,3,3,3,0
1,1,1,0,3,3,3,0,0
1,1,0,0,3,3,0,0,0
1,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,3,0
0,0,1,0,0,0,3,0,0
0,1,0,0,0,3,0,0,0
1,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,6,1
0,0,1,1,0,0,6,3,0
0,1,1,0,0,6,3,0,0
1,1,0,0,6,3,0,0,1
1,0,0,1,3,0,0,6,2
0,0,1,2,0,0,6,6,1
0,1,2,1,0,6,6,6,0
1,2,1,0,6,6,6,0,1
2,1,0,1,6,6,0,5,7
1,0,1,7,6,0,5,5,5
0,1,7,5,0,5,5,5,6
1,7,5,6,5,5,5,5,7
7,5,6,7,5,5,5,6,15
5,6,7,15,5,5,6,6,14
6,7,15,14,5,6,6,7,24
7,15,14,24,6,6,7,5,24
15,14,24,24,6,7,5,5,32
14,24,24,32,7,5,5,6,33
24,24,32,33,5,5,6,6,41
24,32,33,41,5,6,6,7,48
32,33,41,48,6,6,7,6,51
33,41,48,51,6,7,6,7,49
41,48,51,49,7,6,7,5,54
48,51,49,54,6,7,5,5,57
51,49,54,57,7,5,5,5,61
49,54,57,61,5,5,5,3,61
54,57,61,61,5,5,3,4,71
57,61,61,71,5,3,4,5,69
61,61,71,69,3,4,5,5,82
61,71,69,82,4,5,5,5,80
71,69,82,80,5,5,5,5,73
69,82,80,73,5,5,5,5,75
82,80,73,75,5,5,5,4,72
80,73,75,72,5,5,4,4,65
73,75,72,65,5,4,4,4,54
75,72,65,54,4,4,4,4,46
72,65,54,46,4,4,4,5,57
65,54,46,57,4,4,5,5,50
54,46,57,50,4,5,5,5,47
46,57,50,47,5,5,5,4,38
57,50,47,38,5,5,4,3,43
50,47,38,43,5,4,3,3,34
47,38,43,34,4,3,3,2,34
38,43,34,34,3,3,2,2,24
43,34,34,24,3,2,2,4,22
34,34,24,22,2,2,4,2,18
34,24,22,18,2,4,2,2,15
24,22,18,15,4,2,2,2,9
22,18,15,9,2,2,2,2,6
18,15,9,6,2,2,2,2,5
15,9,6,5,2,2,2,2,8
9,6,5,8,2,2,2,2,2
6,5,8,2,2,2,2,2,5
5,8,2,5,2,2,2,2,2
8,2,5,2,2,2,2,2,5
2,5,2,5,2,2,2,2,1
5,2,5,1,2,2,2,2,6
2,5,1,6,2,2,2,2,0
5,1,6,0,2,2,2,0,2
1,6,0,2,2,2,0,2,1
6,0,2,1,2,0,2,2,0
0,2,1,0,0,2,2,0,0
2,1,0,0,2,2,0,0,1
1,0,0,1,2,0,0,2,0
0,0,1,0,0,0,2,0,0
0,1,0,0,0,2,0,0,2
1,0,0,2,2,0,0,2,2
0,0,2,2,0,0,2,2,0
0,2,2,0,0,2,2,0,1
2,2,0,1,2,2,0,2,0
2,0,1,0,2,0,2,0,0
0,1,0,0,0,2,0,0,0
1,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,2,0
0,0,1,0,0,0,2,0,0
0,1,0,0,0,2,0,0,0
1,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,2,1
0,0,1,1,0,0,2,2,0
0,1,1,0,0,2,2,0,0
1,1,0,0,2,2,0,0,1
1,0,0,1,2,0,0,2,3
0,0,1,3,0,0,2,2,0
0,1,3,0,0,2,2,0,0
1,3,0,0,2,2,0,0,2
3,0,0,2,2,0,0,2,7
0,0,2,7,0,0,2,2,4
0,2,7,4,0,2,2,2,6
2,7,4,6,2,2,2,2,7
7,4,6,7,2,2,2,2,7
4,6,7,7,2,2,2,2,5
6,7,7,5,2,2,2,2,5
7,7,5,5,2,2,2,2,10
7,5,5,10,2,2,2,2,17
5,5,10,17,2,2,2,4,18
5,10,17,18,2,2,4,2,28
10,17,18,28,2,4,2,2,32
17,18,28,32,4,2,2,3,38
18,28,32,38,2,2,3,5,37
28,32,38,37,2,3,5,4,53
32,38,37,53,3,5,4,4,53
38,37,53,53,5,4,4,5,62
37,53,53,62,4,4,5,6,58
53,53,62,58,4,5,6,5,68
53,62,58,68,5,6,5,5,63
62,58,68,63,6,5,5,6,78
58,68,63,78,5,5,6,5,69
68,63,78,69,5,6,5,8,83
63,78,69,83,6,5,8,7,87
78,69,83,87,5,8,7,4,86
69,83,87,86,8,7,4,6,93
83,87,86,93,7,4,6,5,95
87,86,93,95,4,6,5,5,87
86,93,95,87,6,5,5,5,87
93,95,87,87,5,5,5,4,73
95,87,87,73,5,5,4,3,60
87,87,73,60,5,4,3,4,69
87,73,60,69,4,3,4,4,58
73,60,69,58,3,4,4,3,57
60,69,58,57,4,4,3,6,52
69,58,57,52,4,3,6,6,33
58,57,52,33,3,6,6,6,28
57,52,33,28,6,6,6,6,19
52,33,28,19,6,6,6,6,18
33,28,19,18,6,6,6,4,10
28,19,18,10,6,6,4,3,4
19,18,10,4,6,4,3,6,6
18,10,4,6,4,3,6,5,9
10,4,6,9,3,6,5,4,2
4,6,9,2,6,5,4,4,5
6,9,2,5,5,4,4,3,2
9,2,5,2,4,4,3,3,5
2,5,2,5,4,3,3,4,2
5,2,5,2,3,3,4,3,4
2,5,2,4,3,4,3,4,1
5,2,4,1,4,3,4,3,3
2,4,1,3,3,4,3,5,0
4,1,3,0,4,3,5,0,0
1,3,0,0,3,5,0,0,0
3,0,0,0,5,0,0,0,1
0,0,0,1,0,0,0,3,0
0,0,1,0,0,0,3,0,1
0,1,0,1,0,3,0,3,1
1,0,1,1,3,0,3,4,2
0,1,1,2,0,3,4,4,0
1,1,2,0,3,4,4,0,0
1,2,0,0,4,4,0,0,1
2,0,0,1,4,0,0,3,0
0,0,1,0,0,0,3,0,0
0,1,0,0,0,3,0,0,0
1,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,4,0
0,0,1,0,0,0,4,0,0
0,1,0,0,0,4,0,0,0
1,0,0,0,4,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2
0,0,0,2,0,0,0,4,0
0,0,2,0,0,0,4,0,0
0,2,0,0,0,4,0,0,0
2,0,0,0,4,0,0,0,1
0,0,0,1,0,0,0,3,3
0,0,1,3,0,0,3,4,0
0,1,3,0,0,3,4,0,0
1,3,0,0,3,4,0,0,2
3,0,0,2,4,0,0,3,6
0,0,2,6,0,0,3,4,5
0,2,6,5,0,3,4,4,5
2,6,5,5,3,4,4,4,8
6,5,5,8,4,4,4,8,7
5,5,8,7,4,4,8,4,4
5,8,7,4,4,8,4,5,6
8,7,4,6,8,4,5,6,5
7,4,6,5,4,5,6,6,5
4,6,5,5,5,6,6,4,6
6,5,5,6,6,6,4,4,13
5,5,6,13,6,4,4,4,15
5,6,13,15,4,4,4,4,20
6,13,15,20,4,4,4,4,24
13,15,20,24,4,4,4,3,29
15,20,24,29,4,4,3,4,33
20,24,29,33,4,3,4,5,35
24,29,33,35,3,4,5,7,40
29,33,35,40,4,5,7,7,47
33,35,40,47,5,7,7,5,42
35,40,47,42,7,7,5,5,51
40,47,42,51,7,5,5,4,50
47,42,51,50,5,5,4,5,54
42,51,50,54,5,4,5,6,59
51,50,54,59,4,5,6,6,58
50,54,59,58,5,6,6,4,65
54,59,58,65,6,6,4,8,63
59,58,65,63,6,4,8,8,77
58,65,63,77,4,8,8,5,64
65,63,77,64,8,8,5,5,73
63,77,64,73,8,5,5,5,62
77,64,73,62,5,5,5,5,53
64,73,62,53,5,5,5,4,53
73,62,53,53,5,5,4,4,43
62,53,53,43,5,4,4,4,43
53,53,43,43,4,4,4,4,46
53,43,43,46,4,4,4,6,36
43,43,46,36,4,4,6,4,22
43,46,36,22,4,6,4,4,17
46,36,22,17,6,4,4,4,5
36,22,17,5,4,4,4,1,6
22,17,5,6,4,4,1,1,4
17,5,6,4,4,1,1,1,8
5,6,4,8,1,1,1,1,2
6,4,8,2,1,1,1,1,5
4,8,2,5,1,1,1,1,2
8,2,5,2,1,1,1,1,5
2,5,2,5,1,1,1,1,2
5,2,5,2,1,1,1,1,4
2,5,2,4,1,1,1,1,1
5,2,4,1,1,1,1,1,3
2,4,1,3,1,1,1,1,0
4,1,3,0,1,1,1,0,0
1,3,0,0,1,1,0,0,0
3,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,1,0
0,0,1,0,0,0,1,0,1
0,1,0,1,0,1,0,1,1
1,0,1,1,1,0,1,1,2
0,1,1,2,0,1,1,1,0
1,1,2,0,1,1,1,0,1
1,2,0,1,1,1,0,1,0
2,0,1,0,1,0,1,0,0
0,1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
