x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,y-count
0,1,0,1,0,1,0,1,0,3,0,3,0,3,0,6,0
1,0,1,0,1,0,1,0,3,0,3,0,3,0,6,0,1
0,1,0,1,0,1,0,1,0,3,0,3,0,6,0,3,0
1,0,1,0,1,0,1,0,3,0,3,0,6,0,3,0,1
0,1,0,1,0,1,0,1,0,3,0,6,0,3,0,3,0
1,0,1,0,1,0,1,0,3,0,6,0,3,0,3,0,1
0,1,0,1,0,1,0,1,0,6,0,3,0,3,0,2,0
1,0,1,0,1,0,1,0,6,0,3,0,3,0,2,0,1
0,1,0,1,0,1,0,1,0,3,0,3,0,2,0,2,0
1,0,1,0,1,0,1,0,3,0,3,0,2,0,2,0,1
0,1,0,1,0,1,0,1,0,3,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,3,0,2,0,2,0,2,0,0
0,1,0,1,0,1,0,0,0,2,0,2,0,2,0,0,2
1,0,1,0,1,0,0,2,2,0,2,0,2,0,0,2,0
0,1,0,1,0,0,2,0,0,2,0,2,0,0,2,0,0
1,0,1,0,0,2,0,0,2,0,2,0,0,2,0,0,0
0,1,0,0,2,0,0,0,0,2,0,0,2,0,0,0,1
1,0,0,2,0,0,0,1,2,0,0,2,0,0,0,2,3
0,0,2,0,0,0,1,3,0,0,2,0,0,0,2,2,0
0,2,0,0,0,1,3,0,0,2,0,0,0,2,2,0,0
2,0,0,0,1,3,0,0,2,0,0,0,2,2,0,0,2
0,0,0,1,3,0,0,2,0,0,0,2,2,0,0,2,6
0,0,1,3,0,0,2,6,0,0,2,2,0,0,2,5,5
0,1,3,0,0,2,6,5,0,2,2,0,0,2,5,3,8
1,3,0,0,2,6,5,8,2,2,0,0,2,5,3,3,7
3,0,0,2,6,5,8,7,2,0,0,2,5,3,3,4,7
0,0,2,6,5,8,7,7,0,0,2,5,3,3,4,7,8
0,2,6,5,8,7,7,8,0,2,5,3,3,4,7,5,17
2,6,5,8,7,7,8,17,2,5,3,3,4,7,5,4,16
6,5,8,7,7,8,17,16,5,3,3,4,7,5,4,4,27
5,8,7,7,8,17,16,27,3,3,4,7,5,4,4,6,26
8,7,7,8,17,16,27,26,3,4,7,5,4,4,6,6,37
7,7,8,17,16,27,26,37,4,7,5,4,4,6,6,6,39
7,8,17,16,27,26,37,39,7,5,4,4,6,6,6,5,49
8,17,16,27,26,37,39,49,5,4,4,6,6,6,5,6,44
17,16,27,26,37,39,49,44,4,4,6,6,6,5,6,5,57
16,27,26,37,39,49,44,57,4,6,6,6,5,6,5,6,61
27,26,37,39,49,44,57,61,6,6,6,5,6,5,6,6,66
26,37,39,49,44,57,61,66,6,6,5,6,5,6,6,6,66
37,39,49,44,57,61,66,66,6,5,6,5,6,6,6,6,78
39,49,44,57,61,66,66,78,5,6,5,6,6,6,6,7,75
49,44,57,61,66,66,78,75,6,5,6,6,6,6,7,4,90
44,57,61,66,66,78,75,90,5,6,6,6,6,7,4,4,84
57,61,66,66,78,75,90,84,6,6,6,6,7,4,4,5,101
61,66,66,78,75,90,84,101,6,6,6,7,4,4,5,4,97
66,66,78,75,90,84,101,97,6,6,7,4,4,5,4,5,94
66,78,75,90,84,101,97,94,6,7,4,4,5,4,5,6,92
78,75,90,84,101,97,94,92,7,4,4,5,4,5,6,7,80
75,90,84,101,97,94,92,80,4,4,5,4,5,6,7,7,82
90,84,101,97,94,92,80,82,4,5,4,5,6,7,7,6,83
84,101,97,94,92,80,82,83,5,4,5,6,7,7,6,7,61
101,97,94,92,80,82,83,61,4,5,6,7,7,6,7,6,69
97,94,92,80,82,83,61,69,5,6,7,7,6,7,6,5,58
94,92,80,82,83,61,69,58,6,7,7,6,7,6,5,7,58
92,80,82,83,61,69,58,58,7,7,6,7,6,5,7,5,50
80,82,83,61,69,58,58,50,7,6,7,6,5,7,5,4,48
82,83,61,69,58,58,50,48,6,7,6,5,7,5,4,5,37
83,61,69,58,58,50,48,37,7,6,5,7,5,4,5,6,39
61,69,58,58,50,48,37,39,6,5,7,5,4,5,6,7,26
69,58,58,50,48,37,39,26,5,7,5,4,5,6,7,4,28
58,58,50,48,37,39,26,28,7,5,4,5,6,7,4,4,19
58,50,48,37,39,26,28,19,5,4,5,6,7,4,4,4,18
50,48,37,39,26,28,19,18,4,5,6,7,4,4,4,5,8
48,37,39,26,28,19,18,8,5,6,7,4,4,4,5,6,7
37,39,26,28,19,18,8,7,6,7,4,4,4,5,6,6,5
39,26,28,19,18,8,7,5,7,4,4,4,5,6,6,6,9
26,28,19,18,8,7,5,9,4,4,4,5,6,6,6,7,2
28,19,18,8,7,5,9,2,4,4,5,6,6,6,7,7,6
19,18,8,7,5,9,2,6,4,5,6,6,6,7,7,6,2
18,8,7,5,9,2,6,2,5,6,6,6,7,7,6,4,5
8,7,5,9,2,6,2,5,6,6,6,7,7,6,4,4,0
7,5,9,2,6,2,5,0,6,6,7,7,6,4,4,0,3
5,9,2,6,2,5,0,3,6,7,7,6,4,4,0,4,0
9,2,6,2,5,0,3,0,7,7,6,4,4,0,4,0,0
2,6,2,5,0,3,0,0,7,6,4,4,0,4,0,0,0
6,2,5,0,3,0,0,0,6,4,4,0,4,0,0,0,1
2,5,0,3,0,0,0,1,4,4,0,4,0,0,0,3,0
5,0,3,0,0,0,1,0,4,0,4,0,0,0,3,0,1
0,3,0,0,0,1,0,1,0,4,0,0,0,3,0,4,0
3,0,0,0,1,0,1,0,4,0,0,0,3,0,4,0,2
0,0,0,1,0,1,0,2,0,0,0,3,0,4,0,7,0
0,0,1,0,1,0,2,0,0,0,3,0,4,0,7,0,1
