x-count,x-count,x-notional,x-notional,y-count
0,1,0,3,0
1,0,3,0,1
0,1,0,3,0
1,0,3,0,1
0,1,0,3,0
1,0,3,0,1
0,1,0,6,0
1,0,6,0,1
0,1,0,3,0
1,0,3,0,1
0,1,0,3,0
1,0,3,0,1
0,1,0,2,0
1,0,2,0,1
0,1,0,2,0
1,0,2,0,1
0,1,0,2,0
1,0,2,0,0
0,0,0,0,2
0,2,0,2,0
2,0,2,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,2,3
1,3,2,2,0
3,0,2,0,0
0,0,0,0,2
0,2,0,2,6
2,6,2,5,5
6,5,5,3,8
5,8,3,3,7
8,7,3,4,7
7,7,4,7,8
7,8,7,5,17
8,17,5,4,16
17,16,4,4,27
16,27,4,6,26
27,26,6,6,37
26,37,6,6,39
37,39,6,5,49
39,49,5,6,44
49,44,6,5,57
44,57,5,6,61
57,61,6,6,66
61,66,6,6,66
66,66,6,6,78
66,78,6,7,75
78,75,7,4,90
75,90,4,4,84
90,84,4,5,101
84,101,5,4,97
101,97,4,5,94
97,94,5,6,92
94,92,6,7,80
92,80,7,7,82
80,82,7,6,83
82,83,6,7,61
83,61,7,6,69
61,69,6,5,58
69,58,5,7,58
58,58,7,5,50
58,50,5,4,48
50,48,4,5,37
48,37,5,6,39
37,39,6,7,26
39,26,7,4,28
26,28,4,4,19
28,19,4,4,18
19,18,4,5,8
18,8,5,6,7
8,7,6,6,5
7,5,6,6,9
5,9,6,7,2
9,2,7,7,6
2,6,7,6,2
6,2,6,4,5
2,5,4,4,0
5,0,4,0,3
0,3,0,4,0
3,0,4,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,3,0
1,0,3,0,1
0,1,0,4,0
1,0,4,0,2
0,2,0,7,0
2,0,7,0,1
0,1,0,6,0
1,0,6,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,10,0
1,0,10,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,2,0,3,0
2,0,3,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,3,3
1,3,3,3,0
3,0,3,0,0
0,0,0,0,2
0,2,0,3,0
2,0,3,0,7
0,7,0,5,4
7,4,5,5,9
4,9,5,7,6
9,6,7,6,6
6,6,6,4,3
6,3,4,4,19
3,19,4,5,16
19,16,5,4,21
16,21,4,6,26
21,26,6,6,32
26,32,6,9,36
32,36,9,8,41
36,41,8,6,41
41,41,6,5,53
41,53,5,4,54
53,54,4,4,53
54,53,4,6,66
53,66,6,6,67
66,67,6,5,70
67,70,5,5,77
70,77,5,8,82
77,82,8,6,83
82,83,6,8,92
83,92,8,7,82
92,82,7,6,82
82,82,6,6,73
82,73,6,4,76
73,76,4,5,69
76,69,5,7,61
69,61,7,4,58
61,58,4,4,54
58,54,4,8,48
54,48,8,5,45
48,45,5,5,42
45,42,5,5,36
42,36,5,6,30
36,30,6,8,28
30,28,8,6,24
28,24,6,4,16
24,16,4,6,18
16,18,6,4,9
18,9,4,6,7
9,7,6,5,6
7,6,5,8,9
6,9,8,5,2
9,2,5,7,5
2,5,7,2,2
5,2,2,1,5
2,5,1,1,0
5,0,1,0,3
0,3,0,1,0
3,0,1,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,4,0
1,0,4,0,0
0,0,0,0,3
0,3,0,4,0
3,0,4,0,1
0,1,0,4,0
1,0,4,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,4,0
1,0,4,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,2
0,2,0,4,0
2,0,4,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,3,3
1,3,3,3,0
3,0,3,0,0
0,0,0,0,2
0,2,0,4,7
2,7,4,4,4
7,4,4,1,6
4,6,1,4,6
6,6,4,1,16
6,16,1,2,15
16,15,2,1,23
15,23,1,4,24
23,24,4,6,36
24,36,6,5,33
36,33,5,2,40
33,40,2,7,41
40,41,7,6,51
41,51,6,6,54
51,54,6,6,61
54,61,6,6,58
61,58,6,7,69
58,69,7,5,68
69,68,5,5,77
68,77,5,5,82
77,82,5,4,86
82,86,4,6,86
86,86,6,4,92
86,92,4,3,75
92,75,3,4,80
75,80,4,4,72
80,72,4,4,65
72,65,4,4,65
65,65,4,4,60
65,60,4,3,54
60,54,3,5,51
54,51,5,6,42
51,42,6,6,43
42,43,6,6,32
43,32,6,4,36
32,36,4,4,24
36,24,4,6,25
24,25,6,6,15
25,15,6,5,13
15,13,5,5,10
13,10,5,5,5
10,5,5,5,6
5,6,5,5,7
6,7,5,7,3
7,3,7,3,5
3,5,3,5,2
5,2,5,3,5
2,5,3,4,2
5,2,4,5,5
2,5,5,6,0
5,0,6,0,3
0,3,0,6,0
3,0,6,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,6,1
1,1,6,6,1
1,1,6,3,1
1,1,3,3,1
1,1,3,3,1
1,1,3,3,0
1,0,3,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,3,0
1,0,3,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,1
0,1,0,6,1
1,1,6,3,0
1,0,3,0,0
0,0,0,0,1
0,1,0,6,2
1,2,6,6,1
2,1,6,6,0
1,0,6,0,1
0,1,0,5,7
1,7,5,5,5
7,5,5,5,6
5,6,5,5,7
6,7,5,6,15
7,15,6,6,14
15,14,6,7,24
14,24,7,5,24
24,24,5,5,32
24,32,5,6,33
32,33,6,6,41
33,41,6,7,48
41,48,7,6,51
48,51,6,7,49
51,49,7,5,54
49,54,5,5,57
54,57,5,5,61
57,61,5,3,61
61,61,3,4,71
61,71,4,5,69
71,69,5,5,82
