x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-count,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,x-notional,y-count
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,3,0,6,0,3,0,3,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,3,0,6,0,3,0,3,0,2,0,2,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,6,0,3,0,3,0,2,0,2,0,2,0
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0,6,0,3,0,3,0,2,0,2,0,2,0,0
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,3,0,6,0,3,0,3,0,2,0,2,0,2,0,0,2
1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,3,0,6,0,3,0,3,0,2,0,2,0,2,0,0,2,0
0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0,0,6,0,3,0,3,0,2,0,2,0,2,0,0,2,0,0
1,0,1,0,1,0,1,0,1,0,1,0,0,2,0,0,6,0,3,0,3,0,2,0,2,0,2,0,0,2,0,0,0
0,1,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,3,0,3,0,2,0,2,0,2,0,0,2,0,0,0,1
1,0,1,0,1,0,1,0,1,0,0,2,0,0,0,1,3,0,3,0,2,0,2,0,2,0,0,2,0,0,0,2,3
0,1,0,1,0,1,0,1,0,0,2,0,0,0,1,3,0,3,0,2,0,2,0,2,0,0,2,0,0,0,2,2,0
1,0,1,0,1,0,1,0,0,2,0,0,0,1,3,0,3,0,2,0,2,0,2,0,0,2,0,0,0,2,2,0,0
0,1,0,1,0,1,0,0,2,0,0,0,1,3,0,0,0,2,0,2,0,2,0,0,2,0,0,0,2,2,0,0,2
1,0,1,0,1,0,0,2,0,0,0,1,3,0,0,2,2,0,2,0,2,0,0,2,0,0,0,2,2,0,0,2,6
0,1,0,1,0,0,2,0,0,0,1,3,0,0,2,6,0,2,0,2,0,0,2,0,0,0,2,2,0,0,2,5,5
1,0,1,0,0,2,0,0,0,1,3,0,0,2,6,5,2,0,2,0,0,2,0,0,0,2,2,0,0,2,5,3,8
0,1,0,0,2,0,0,0,1,3,0,0,2,6,5,8,0,2,0,0,2,0,0,0,2,2,0,0,2,5,3,3,7
1,0,0,2,0,0,0,1,3,0,0,2,6,5,8,7,2,0,0,2,0,0,0,2,2,0,0,2,5,3,3,4,7
0,0,2,0,0,0,1,3,0,0,2,6,5,8,7,7,0,0,2,0,0,0,2,2,0,0,2,5,3,3,4,7,8
0,2,0,0,0,1,3,0,0,2,6,5,8,7,7,8,0,2,0,0,0,2,2,0,0,2,5,3,3,4,7,5,17
2,0,0,0,1,3,0,0,2,6,5,8,7,7,8,17,2,0,0,0,2,2,0,0,2,5,3,3,4,7,5,4,16
0,0,0,1,3,0,0,2,6,5,8,7,7,8,17,16,0,0,0,2,2,0,0,2,5,3,3,4,7,5,4,4,27
0,0,1,3,0,0,2,6,5,8,7,7,8,17,16,27,0,0,2,2,0,0,2,5,3,3,4,7,5,4,4,6,26
0,1,3,0,0,2,6,5,8,7,7,8,17,16,27,26,0,2,2,0,0,2,5,3,3,4,7,5,4,4,6,6,37
1,3,0,0,2,6,5,8,7,7,8,17,16,27,26,37,2,2,0,0,2,5,3,3,4,7,5,4,4,6,6,6,39
