ID,QUOTE_TIME_UTC,CCY_PAIR,SIDE,PRODUCT,NOTIONAL,CALL_PUT,STRIKE,EXPIRY_DATE,PREMIUM
1,2017-10-30 00:19:00,EURUSD,Buy,European,1000000.0,C,1.168,2017-11-13 00:00:00,4060.0
2,2017-10-30 00:56:00,EURUSD,Buy,European,1000000.0,C,1.174,2017-11-13 00:00:00,2380.0
3,2017-10-30 01:18:00,EURUSD,Buy,European,1000000.0,C,1.178,2017-11-13 00:00:00,1610.0
4,2017-10-30 01:57:00,EURUSD,Buy,European,20000000.0,C,1.17,2017-12-14 00:00:00,187800.0
5,2017-10-30 02:28:00,EURUSD,Buy,European,1000000.0,C,1.1697,2017-11-03 00:00:00,1870.0
6,2017-10-30 02:58:00,EURUSD,Buy,European,1000000.0,C,1.1607,2017-11-06 00:00:00,5350.0
7,2017-10-30 03:20:00,EURUSD,Buy,European,500000.0,P,1.14,2018-01-30 00:00:00,2571.0
8,2017-10-30 03:55:00,EURUSD,Buy,European,500000.0,C,1.18,2018-01-30 00:00:00,4589.0
9,2017-10-30 04:20:00,EURUSD,Buy,European,500000.0,C,1.18,2018-01-30 00:00:00,4591.0
10,2017-10-30 05:10:00,EURUSD,Sell,European,500000.0,P,1.14,2018-01-30 00:00:00,2521.0
11,2017-10-30 05:13:00,EURUSD,Buy,European,500000.0,C,1.185,2018-01-30 00:00:00,3882.0
12,2017-10-30 06:03:00,EURUSD,Sell,European,500000.0,P,1.14,2018-01-30 00:00:00,2517.0
13,2017-10-30 06:25:00,EURUSD,Buy,European,500000.0,C,1.185,2018-01-30 00:00:00,3846.0
14,2017-10-30 06:26:00,EURUSD,Sell,European,500000.0,P,1.145,2018-01-30 00:00:00,3081.0
15,2017-10-30 06:27:00,EURUSD,Sell,European,500000.0,P,1.145,2018-01-30 00:00:00,3061.0
16,2017-10-30 07:13:00,EURUSD,Buy,European,500000.0,C,1.19,2018-01-30 00:00:00,3261.0
17,2017-10-30 07:11:00,EURUSD,Sell,European,500000.0,P,1.147,2018-01-30 00:00:00,3272.0
18,2017-10-30 07:21:00,EURUSD,Buy,European,500000.0,C,1.19,2018-01-30 00:00:00,3232.0
19,2017-10-30 07:26:00,EURUSD,Sell,European,40000000.0,P,1.14,2017-12-07 00:00:00,92000.0
20,2017-10-30 07:30:00,EURUSD,Buy,European,1000000.0,P,1.17,2017-11-06 00:00:00,8590.0
21,2017-10-30 07:17:00,EURUSD,Buy,European,1000000.0,P,1.17,2017-11-03 00:00:00,8440.0
22,2017-10-30 07:19:00,EURUSD,Buy,European,700000.0,C,1.172,2017-11-06 00:00:00,193200.0
23,2017-10-30 07:27:00,EURUSD,Buy,European,700000.0,C,1.172,2017-11-06 00:00:00,1050.0
24,2017-10-30 07:17:00,EURUSD,Sell,European,700000.0,C,1.172,2017-11-06 00:00:00,903.0
25,2017-10-30 07:41:00,EURUSD,Buy,European,1000000.0,C,1.162,2017-10-31 00:00:00,2080.0
26,2017-10-30 07:31:00,EURUSD,Buy,European,1000000.0,C,1.162,2017-11-06 00:00:00,4560.0
27,2017-10-30 07:35:00,EURUSD,Buy,European,1000000.0,P,1.162,2017-10-31 00:00:00,2030.0
28,2017-10-30 07:33:00,EURUSD,Buy,European,1000000.0,P,1.162,2017-11-06 00:00:00,4190.0
29,2017-10-30 07:55:00,EURUSD,Buy,European,1000000.0,C,1.167,2017-10-31 00:00:00,650.0
30,2017-10-30 07:51:00,EURUSD,Buy,European,1000000.0,P,1.152,2017-10-31 00:00:00,170.0
31,2017-10-30 07:52:00,EURUSD,Buy,European,1000000.0,C,1.167,2017-11-06 00:00:00,2720.0
32,2017-10-30 07:51:00,EURUSD,Buy,European,1000000.0,P,1.152,2017-11-06 00:00:00,1370.0
33,2017-10-30 07:50:00,EURUSD,Buy,European,1000000.0,P,1.157,2017-10-31 00:00:00,630.0
34,2017-10-30 07:50:00,EURUSD,Buy,European,1000000.0,P,1.157,2017-11-06 00:00:00,2470.0
35,2017-10-30 08:00:00,EURUSD,Buy,European,20000000.0,C,1.17,2017-11-03 00:00:00,44400.0
36,2017-10-30 07:51:00,EURUSD,Buy,European,1000000.0,P,1.17,2017-11-03 00:00:00,7790.0
37,2017-10-30 07:49:00,EURUSD,Buy,European,100000.0,P,1.1575,2017-11-09 00:00:00,309.0
38,2017-10-30 08:05:00,EURUSD,Buy,European,100000.0,P,1.155,2017-11-13 00:00:00,283.0
39,2017-10-30 08:06:00,EURUSD,Buy,European,100000.0,P,1.155,2017-11-29 00:00:00,439.0
40,2017-10-30 08:05:00,EURUSD,Buy,European,100000.0,P,1.15,2017-11-29 00:00:00,316.0
41,2017-10-30 08:06:00,EURUSD,Buy,European,100000.0,P,1.1575,2017-11-09 00:00:00,310.0
42,2017-10-30 08:02:00,EURUSD,Buy,European,1000000.0,C,1.17,2017-11-03 00:00:00,2200.0
43,2017-10-30 08:06:00,EURUSD,Buy,European,2000000.0,C,1.135,2018-01-30 00:00:00,66680.0
44,2017-10-30 08:26:00,EURUSD,Buy,European,2000000.0,P,1.135,2018-01-30 00:00:00,7880.0
45,2017-10-30 08:27:00,EURUSD,Buy,European,50000000.0,C,1.183,2018-11-15 00:00:00,1700261.0
